Efectivo animal (Grande Lisboa),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,,,,,Pág.2/7
,,,LISBOA E VALE DO TEJO,,Grande Lisboa,,Amadora,,Cascais,,Loures,,Odivelas,,Oeiras,,Sintra,,Vila Franca de Xira,
,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
BOVINOS,,,  4 642 ,  159 317 ,   319 ,  11 272 ,   4 ,   241 ,   11 ,   59 ,   91 ,  2 778 ,   11 ,   708 ,   7 ,   179 ,   146 ,  3 345 ,   49 ,  3 962 
Bovinos com menos de 1 ano,,,  3 147 ,  51 864 ,   215 ,  2 920 ,   3 ,   60 ,   6 ,   22 ,   55 ,   832 ,   8 ,   148 ,   5 ,   50 ,   104 ,  1 054 ,   34 ,   754 
,Vitelos de carne (para abate < 1 ano),,   878 ,  9 563 ,   83 ,   639 ,   1 ,... ,   4 ,   8 ,   10 ,   147 ,   3 ,   9 ,   4 ,   10 ,   46 ,   331 ,   15 ,   130 
,Outros vitelos,,  2 394 ,  42 301 ,   152 ,  2 281 ,   3 ,   56 ,   4 ,   14 ,   48 ,   685 ,   7 ,   139 ,   1 ,... ,   68 ,   723 ,   21 ,   624 
,,Machos,  1 828 ,  21 634 ,   101 ,   645 ,   1 ,... ,   4 ,   8 ,   36 ,   217 ,   4 ,   10 ,- ,- ,   40 ,   184 ,   16 ,   206 
,,Fêmeas,  1 357 ,  20 667 ,   112 ,  1 636 ,   3 ,   36 ,   3 ,   6 ,   30 ,   468 ,   5 ,   129 ,   1 ,... ,   54 ,   539 ,   16 ,   418 
Bovinos de 1 a menos de 2 anos,,,  2 030 ,  40 341 ,   167 ,  2 788 ,   3 ,   46 ,   4 ,   9 ,   55 ,   933 ,   5 ,   136 ,   4 ,   36 ,   72 ,   700 ,   24 ,   928 
,Machos,,  1 264 ,  17 303 ,   104 ,  1 039 ,   3 ,   11 ,   1 ,... ,   37 ,   503 ,   3 ,   4 ,   1 ,... ,   39 ,   150 ,   20 ,   361 
,Fêmeas reprodutoras,,  1 051 ,  19 988 ,   97 ,  1 440 ,   3 ,   35 ,   3 ,   8 ,   32 ,   346 ,   4 ,   132 ,   3 ,   26 ,   38 ,   402 ,   14 ,   491 
,Fêmeas não reprodutoras,,   242 ,  3 050 ,   24 ,   309 ,- ,- ,- ,- ,   7 ,   84 ,- ,- ,   1 ,... ,   12 ,   148 ,   4 ,   76 
Bovinos de 2 anos e mais,,,  2 273 ,  67 112 ,   177 ,  5 564 ,   3 ,   135 ,   10 ,   28 ,   42 ,  1 013 ,   8 ,   424 ,   3 ,   93 ,   79 ,  1 591 ,   32 ,  2 280 
,Machos,,   632 ,  3 438 ,   56 ,   221 ,   2 ,... ,   3 ,   6 ,   10 ,   17 ,   2 ,... ,   1 ,... ,   22 ,   41 ,   16 ,   133 
,Novilhas reprodutoras,,   789 ,  14 562 ,   85 ,  1 075 ,   2 ,... ,- ,- ,   23 ,   168 ,   3 ,   10 ,   2 ,... ,   40 ,   303 ,   15 ,   572 
,Novilhas não reprodutoras,,   57 ,   890 ,   11 ,   192 ,- ,- ,- ,- ,   3 ,   20 ,- ,- ,- ,- ,   5 ,   84 ,   3 ,   88 
,Vacas leiteiras,,   962 ,  28 478 ,   79 ,  3 094 ,   2 ,... ,   6 ,   18 ,   15 ,   585 ,   6 ,   410 ,   1 ,... ,   38 ,  1 070 ,   11 ,   827 
,Outras vacas,,   698 ,  19 744 ,   44 ,   982 ,- ,- ,   2 ,... ,   8 ,   223 ,   1 ,... ,- ,- ,   16 ,   93 ,   17 ,   660 
SUÍNOS,,,  10 993 , 1 072 748 ,   359 ,  12 616 ,   3 ,   16 ,   6 ,   246 ,   47 ,   406 ,   10 ,   59 ,   5 ,   113 ,   256 ,  10 017 ,   32 ,  1 759 
,Suínos com menos de 20 kg de PV,,  2 995 ,  299 875 ,   69 ,  3 733 ,   1 ,... ,   4 ,   134 ,   10 ,   54 ,   4 ,   32 ,   2 ,... ,   44 ,  2 933 ,   4 ,   533 
,Fêmeas reprodutoras de 50 kg de PV e mais,,  4 283 ,  124 993 ,   92 ,  1 378 ,- ,- ,   4 ,   55 ,   16 ,   62 ,   7 ,   15 ,   5 ,   23 ,   52 ,   978 ,   8 ,   245 
,Outros suínos,,  9 063 ,  647 880 ,   313 ,  7 505 ,   2 ,... ,   6 ,   57 ,   34 ,   290 ,   6 ,   12 ,   5 ,   53 ,   231 ,  6 106 ,   29 ,   981 
OVINOS,,,  10 901 ,  263 238 ,   792 ,  26 845 ,   11 ,   813 ,   46 ,  1 591 ,   228 ,  8 115 ,   32 ,  1 482 ,   12 ,   729 ,   322 ,  9 380 ,   141 ,  4 735 
,Fêmeas reprodutoras,,  10 452 ,  222 276 ,   776 ,  22 406 ,   11 ,   590 ,   45 ,  1 483 ,   226 ,  7 012 ,   32 ,  1 258 ,   12 ,   670 ,   312 ,  7 713 ,   138 ,  3 680 
,Outros ovinos,,  6 713 ,  40 962 ,   586 ,  4 439 ,   9 ,   223 ,   37 ,   108 ,   182 ,  1 103 ,   29 ,   224 ,   11 ,   59 ,   236 ,  1 667 ,   82 ,  1 055 
CAPRINOS,,,  5 274 ,  46 562 ,   232 ,  3 120 ,   9 ,   308 ,   12 ,   148 ,   56 ,   551 ,   11 ,   92 ,   5 ,   103 ,   90 ,  1 226 ,   49 ,   692 
,Fêmeas reprodutoras,,  5 170 ,  40 863 ,   224 ,  2 659 ,   9 ,   282 ,   12 ,   130 ,   55 ,   465 ,   10 ,   73 ,   5 ,   96 ,   86 ,  1 037 ,   47 ,   576 
,Outros caprinos,,  1 982 ,  5 699 ,   156 ,   461 ,   7 ,   26 ,   8 ,   18 ,   32 ,   86 ,   9 ,   19 ,   4 ,   7 ,   68 ,   189 ,   28 ,   116 
EQUÍDEOS,,,  3 312 ,  10 444 ,   223 ,  1 018 ,   3 ,   4 ,   4 ,   11 ,   80 ,   188 ,   5 ,   16 ,   7 ,   33 ,   81 ,   445 ,   43 ,   321 
,Gado equino,,  1 429 ,  8 374 ,   149 ,   922 ,   3 ,   4 ,   4 ,   11 ,   36 ,   131 ,   5 ,   16 ,   7 ,   33 ,   59 ,   419 ,   35 ,   308 
,Fêmeas reprodutoras,,   847 ,  3 285 ,   97 ,   308 ,   3 ,   4 ,   3 ,   6 ,   26 ,   37 ,   4 ,   5 ,   2 ,... ,   40 ,   148 ,   19 ,   105 
,Outros equinos,,  1 091 ,  5 089 ,   122 ,   614 ,- ,- ,   3 ,   5 ,   27 ,   94 ,   4 ,   11 ,   7 ,   30 ,   51 ,   271 ,   30 ,   203 
,Gado asinino,,  1 224 ,  1 310 ,   69 ,   81 ,- ,- ,- ,- ,   38 ,   47 ,- ,- ,- ,- ,   22 ,   22 ,   9 ,   12 
,Gado muar,,   733 ,   760 ,   13 ,   15 ,- ,- ,- ,- ,   8 ,   10 ,- ,- ,- ,- ,   4 ,   4 ,   1 ,... 
COELHAS reprodutoras,,,  11 706 ,  58 375 ,   660 ,  2 703 ,   2 ,... ,   14 ,   123 ,   98 ,   375 ,   17 ,   74 ,   4 ,   54 ,   438 ,  1 699 ,   87 ,   359 
